ObjID,ra,dec,u,g,r,i,z
1237666299433583065,300.01655109,-1.02358883,25.837864,23.71032,21.593531,20.189909,19.359314
1237666299433583066,300.02007366,-1.02079503,25.271738,22.596449,21.931408,21.291489,20.994637
1237666299433583828,299.97517801,-1.01516153,24.211355,22.583847,20.822386,20.005543,19.477125
1237666299433583875,299.98032088,-0.97367202,21.823469,18.898375,17.392288,16.608912,16.206848
1237666299433583877,299.98378157,-0.97436991,24.392176,21.807596,21.15167,20.776457,20.535828
1237666299433583879,299.98238091,-0.97636783,25.979048,24.415823,21.904791,20.927917,21.028269
1237666299433583880,299.9825126,-0.97364665,24.844282,22.87858,23.306795,21.476168,20.675579
1237666299433583881,299.98132738,-0.97549705,24.332726,24.977531,22.742887,21.99835,22.893417
1237666299433583897,299.98322144,-1.02572661,19.218372,17.384544,16.637096,16.265499,16.14352
1237666299433583898,299.9821335,-1.02715896,19.178616,17.613577,16.936199,16.55825,16.416681
1237666299433583900,299.98240782,-1.02434562,25.723555,23.797424,21.921675,21.622719,22.304462
1237666299433583937,299.99101283,-0.97160828,19.554605,18.185358,17.548761,17.224178,17.10355
1237666299433583938,299.98751501,-0.97108867,22.717947,19.377295,18.250319,17.698196,17.452921
1237666299433583939,299.99089762,-0.97033613,25.226124,22.225628,20.354208,19.471874,19.041876
1237666299433583940,299.9863212,-0.97163124,22.753128,21.039667,20.389702,19.970335,19.939039
1237666299433583941,299.99028113,-0.97217003,24.528788,22.888304,21.141542,20.442011,20.021902
1237666299433583942,299.98859168,-0.97287597,24.803555,24.383511,23.302177,20.920673,20.042152
1237666299433583992,299.9966291,-1.03304862,19.090128,17.226452,16.356089,15.867617,15.644011
1237666299433584182,300.01927917,-0.9782052,21.005846,19.149897,18.421465,18.032524,17.973177
1237666299433584226,300.02588006,-1.01380138,23.308666,24.597004,23.744814,21.387749,20.680542
1237666299433584233,300.0245439,-0.9841173,19.74691,18.389772,17.889654,17.610369,17.555065
1237666299433584234,300.02500981,-0.97994191,24.059252,21.130205,19.453192,18.300085,17.73723
1237666299433584235,300.02446827,-0.98147042,23.268322,22.604717,20.518139,19.062788,18.261824
1237666299433584237,300.02540604,-0.98187561,22.271765,20.865992,19.937197,19.512617,19.302961
1237666299433584239,300.0258803,-0.9801726,24.247023,22.133917,21.564653,21.188408,22.162371
1237666299433585250,299.97680865,-1.01984579,21.913342,19.630299,18.7076,18.244034,18.09264
